ID,title,date,url
1,Электросамокат сбил подростка в центре Москвы,2021-06-25,https://strelkamag.com/ru/news/v-moskve-elektrosamokat-sbil-rebenka
2,"В Москве открылась выставка «Послевоенное Измайлово: изба, барак, вилла»",2021-06-25,https://strelkamag.com/ru/news/v-moskve-otkrylas-vystavka-poslevoennoe-izmailovo-izba-barak-villa
3,"В Барселоне появилось приложение, которое выстраивает маршруты по тенистым местам",2021-06-23,https://strelkamag.com/ru/news/v-barselone-poyavilos-prilozhenie-kotoroe-vystraivaet-marshruty-po-bolee-prokhladnym-mestam
4,Jager Night Embassy 2021 объявил open call для креатеров из Москвы,2021-06-22,https://strelkamag.com/ru/news/jager-night-embassy-2021-obyavil-open-call-dlya-kreaterov-iz-moskvy
5,В рестораны в Москве будут пускать только переболевших и привившихся от коронавируса,2021-06-22,https://strelkamag.com/ru/news/v-restorany-v-moskve-budut-puskat-tolko-perebolevshikh-privivshikhsya-ili-s-otricatelnym-testom
6,В Москве побит температурный рекорд за 142 года,2021-06-22,https://strelkamag.com/ru/news/v-moskve-pobit-temperaturnyi-rekord-za-142-goda
7,В ресторанах в Москве появились зоны для вакцинировавшихся,2021-06-21,https://strelkamag.com/ru/news/restorany-v-moskve-sozdadut-eksperimentalnye-zony-dlya-vakcinirovavshikhsya
8,У Ижевска появился свой шрифт,2021-06-18,https://strelkamag.com/ru/news/u-izhevska-poyavilsya-svoi-shrift-1
9,В больницах Москвы будут оказывать плановую помощь только вакцинированным,2021-06-18,https://strelkamag.com/ru/news/v-bolnicakh-moskvy-budut-okazyvat-planovuyu-pomosh-tolko-vakcinirovannym
10,В Москве пройдёт утиная перепись,2021-06-18,https://strelkamag.com/ru/news/v-moskve-proidyot-utinaya-perepis
11,В ресторанах в Москве могут появиться свободные от короновируса зоны,2021-06-18,https://strelkamag.com/ru/news/v-restoranakh-v-moskve-mogut-poyavitsya-svobodnye-ot-koronovirusa-zony
12,В Москве построят самый большой в России исправительный центр,2021-06-15,https://strelkamag.com/ru/news/v-moskve-postroyat-samyi-bolshoi-v-rossii-ispravitelnyi-centr
